name,homepage,description,languages,proprietary
Reshift,https://www.reshiftsecurity.com/,A source code analysis tool for detecting and managing Java security vulnerabilities,service,true
retire.js,http://retirejs.github.io/retire.js/,Scanner detecting the use of JavaScript libraries with known vulnerabilities,javascript,false
Reviewdog,https://github.com/haya14busa/reviewdog,A tool for posting review comments from any linter in any code hosting service,"ci, go",false
revive,https://revive.run/,"Fast, configurable, extensible, flexible, and beautiful linter for Go. Drop-in replacement of golint.",go,false
RIPS,https://www.ripstech.com/,A static source code analyser for vulnerabilities in PHP scripts,"php, java, nodejs",true
Roslyn Analyzers,https://github.com/dotnet/roslyn-analyzers,Roslyn-based implementation of FxCop analyzers,"csharp, dotnet",false
Roslyn Security Guard,https://security-code-scan.github.io/,"Project that focuses on the identification of potential vulnerabilities such as SQL injection, cross-site scripting (XSS), CSRF, cryptography weaknesses, hardcoded passwords and many more.","csharp, vbnet",false
Roslynator,https://github.com/JosefPihrt/Roslynator/,"A collection of 190+ analyzers and 190+ refactorings for C#, powered by Roslyn.",csharp,false
rpmlint,https://github.com/rpm-software-management/rpmlint,Tool for checking common errors in rpm packages,package,false
RuboCop,https://docs.rubocop.org/rubocop/,"A Ruby static code analyzer, based on the community Ruby style guide.",ruby,false
Rubrowser,http://www.emadelsaid.com/rubrowser/,Ruby classes interactive dependency graph generator,ruby,false
ruby-lint,http://code.yorickpeterse.com/ruby-lint/latest/,Static code analysis for Ruby,ruby,false
rubycritic,https://github.com/whitesmith/rubycritic,A Ruby code quality reporter,ruby,false
Rust Language Server,https://github.com/rust-lang-nursery/rls,"Supports functionality such as 'goto definition', symbol search, reformatting, and code completion, and enables renaming and refactorings.",rust,false
rust-analyzer,https://rust-analyzer.github.io/,"Supports functionality such as 'goto definition', type inference, symbol search, reformatting, and code completion, and enables renaming and refactorings.",rust,false
rust-audit,ttps://github.com/Shnatsel/rust-audi,Audit Rust binaries for known bugs or security vulnerabilities. This works by embedding data about the dependency tree (Cargo.lock) in JSON format into a dedicated linker section of the compiled executable.,rust,false
rustfix,https://github.com/rust-lang/rustfix,"Read and apply the suggestions made by rustc (and third-party lints, like those offered by clippy).",rust,false
safesql,https://github.com/stripe/safesql,Static analysis tool for Golang that protects against SQL injections,go,false
SandiMeter,https://rubygems.org/gems/sandi_meter,Static analysis tool for checking Ruby code for Sandi Metz' rules.,ruby,false
sass-lint,https://github.com/sasstools/sass-lint,A Node-only Sass linter for both sass and scss syntax,css,false
Scalastyle,http://www.scalastyle.org,Scalastyle examines your Scala code and indicates potential problems with it,scala,false
scan-build,https://clang-analyzer.llvm.org/scan-build.html,Analyzes C/C++ code using LLVM at compile-time,"c, cpp",false
scapegoat,https://github.com/sksamuel/scapegoat,Scala compiler plugin for static code analysis,scala,false
Scrutinizer,https://scrutinizer-ci.com/,A proprietary code quality checker that can be integrated with GitHub,service,true
scsslint,https://github.com/brigade/scss-lint,Linter for SCSS files,css,false
Security Code Scan,https://security-code-scan.github.io/,"Security code analyzer for C# and VB.NET. Detects various security vulnerability patterns: SQLi, XSS, CSRF, XXE, Open Redirect, etc. Integrates into Visual Studio 2015 and newer. Detects various security vulnerability patterns: SQLi, XSS, CSRF, XXE, Open Redirect, etc.","c, cpp, csharp, ide, java, php, vbnet",false
Semgrep,https://semgrep.live,"Free, open-source lightweight static analysis for many languages. Find and block bug variants with patterns that look like source code.","c, go, java, javascript, python",false
Semmle QL and LGTM,https://semmle.com/,"Find security vulnerabilities, variants, and critical code quality issues using queries over source code. Automatic PR code review; free for public GitHub/Bitbucket repo: [LGTM.com](https://LGTM.com).","c, ci, cpp, java, php",true
SensioLabs Insight,https://insight.sensiolabs.com/,"Detect security risks, find bugs and provide actionable metrics for PHP projects.","php, service",true
shellcheck,https://www.shellcheck.net/,"ShellCheck, a static analysis tool that gives warnings and suggestions for bash/sh shell scripts.",shell,false
shipshape,https://github.com/google/shipshape,Static program analysis platform that allows custom analyzers to plug in through a common interface,"c, cpp, java, php",false
Sider,https://sider.review,An automated code reviewing tool. Improving developers' productivity.,"ci, service, ruby, python, css, go, swift",true
slim-lint,https://github.com/sds/slim-lint,Configurable tool for analyzing Slim templates,template,false
slither,https://github.com/trailofbits/slither,"Static analysis framework that runs a suite of vulnerability detectors, prints visual information about contract details, and provides an API to easily write custom analyses.",smart,false
SmartDec Scanner,https://smartdecscanner.com/,"SAST tool which is capable of identifying vulnerabilities and undocumented features. The analyzer scans the source code and executables without debug info (i.e. binaries). Supports: Java/Scala/Kotlin, PHP, C#, JavaScript, TypeScript, VBScript, HTML5, Python, Perl, C/C++, Objective-C/Swift, PL/SQL, T-SQL, ABAP, 1C, Apex, Go, Ruby, Groovy, Delphi, VBA, Visual Basic 6, Solidity, Vyper, COBOL.","abap, apex, c, cobol, cpp, csharp, delphi, go, groovy, html, java, javascript, kotlin, objectivec, perl, php, plsql, python, ruby, scala, security, smart, swift, tsql, typescript, vba, vbscript, vbasic, vyper",true
Snyk,https://snyk.io/,Vulnerability scanner for dependencies of node.js apps (free for Open Source Projects),"ci, container, go, java, javascript, php, python, ruby, service",true
sobelow,https://github.com/nccgroup/sobelow,Security-focused static analysis for the Phoenix Framework,elixir,false
solhint,https://protofire.github.io/solhint/,Solhint is an open source project created by https://protofire.io. Its goal is to provide a linting utility for Solidity code,smart,false
solium,https://ethlint.readthedocs.io/en/latest/,Solium is a linter to identify and fix style and security issues in Solidity smart contracts,smart,false
SonarCloud,https://sonarcloud.io,"Multilanguage cloud-based static code analysis. History, trends, security hot-spots, pull request analysis and more. Free for open source.","ci, service",true
SonarLint for Visual Studio,https://vs.sonarlint.org/,SonarLint is an extension for Visual Studio 2015 and 2017 that provides on-the-fly feedback to developers on new bugs and quality issues injected into .NET code,"c, cpp, csharp, javascript, vbnet",false
SonarQube,http://www.sonarqube.org/,SonarQube is an open platform to manage code quality,"ci, csharp, css, go, html, java, javascript, kotlin, php, python, ruby, scala, typescript, xml",false
Soot,https://soot-oss.github.io/soot/,A framework for analyzing and transforming Java and Android applications,java,false
Sorbet,https://sorbet.org/,"A fast, powerful type checker designed for Ruby.",ruby,false
SourceMeter,https://www.sourcemeter.com/resources/rpg/,Static Code Analysis for RPG III and RPG IV versions (including free-form),rpg,true
SPARK,https://www.adacore.com/about-spark,Static analysis and formal verification toolset for Ada,ada,true
Specificity Graph,https://jonassebastianohlsson.com/specificity-graph/,CSS Specificity Graph Generator,css,false
Spectral,https://stoplight.io/open-source/spectral,"A flexible JSON/YAML linter, with out of the box support for OpenAPI v2/v3 and AsyncAPI v2","json, yaml",false
splint,http://splint.org/,Annotation-assisted static program checker,"c, cpp",false
Spoon,http://spoon.gforge.inria.fr/,"Spoon is a metaprogramming library to analyze and transform Java source code (incl Java 9, 10, 11, 12, 13, 14). It parses source files to build a well-designed AST with powerful analysis and transformation API. Can be integrated in Maven and Gradle",java,false
SpotBugs,https://spotbugs.github.io/,SpotBugs is FindBugs' successor. A tool for static analysis to look for bugs in Java code.,java,false
sqlcheck,https://github.com/jarulraj/sqlcheck,Automatically identify anti-patterns in SQL queries,sql,false
sqlint,https://github.com/purcell/sqlint,Simple SQL linter,sql,false
standard,http://standardjs.com/,An npm module that checks for Javascript Styleguide issues,"javascript, nodejs",false
staticcheck,https://staticcheck.io/,"Go static analysis that specialises in finding bugs, simplifying code and improving performance.",go,false
STOKE,http://stoke.stanford.edu/,A programming-language agnostic stochastic optimizer for the x86_64 instruction set. It uses random search to explore the extremely high-dimensional space of all possible program transformations,asm,false
structcheck,https://gitlab.com/opennota/check,Find unused struct fields,go,false
Stylelint,http://stylelint.io/,Linter for SCSS/CSS files,css,false
styler,https://styler.r-lib.org/,Formatting of R source code files and pretty-printing of R code,"r, formatter",false
SVF,http://svf-tools.github.io/SVF/,A static tool that enables scalable and precise interprocedural dependence analysis for C and C++ programs,"c, cpp",false
SwiftFormat,https://github.com/nicklockwood/SwiftFormat,A library and command-line formatting tool for reformatting Swift code,"formatter, swift",false
SwiftLint,https://realm.github.io/SwiftLint/,A tool to enforce Swift style and conventions,swift,false
Synopsys,https://www.synopsys.com/software-integrity/security-testing/static-analysis-sast.html,"A commercial static analysis platform that allows for scanning of multiple languages (C/C++, Android, C#, Java, JS, PHP, Python, Node.JS, Ruby, Fortran, and Swift).","c, ci, cpp, csharp, fortran, java, javascript, mobile, nodejs, php, python, ruby, swift",true
Tailor,https://tailor.sh/,A static analysis and lint tool for source code written in Apple's Swift programming language.,swift,false
tclchecker,https://github.com/ActiveState/tdk/blob/master/docs/3.0/TDK_3.0_Checker.txt,A static syntax analysis module (as part of [TDK](https://github.com/ActiveState/tdk)).,tcl,false
Teamscale,http://www.teamscale.com/,Static and dynamic analysis tool supporting more than 25 languages and direct IDE integration. Free hosting for Open Source projects available on request. Free academic licenses available,"abap, c, ci, cpp, csharp, ide, java, service",true
tern,https://ternjs.net/,"A JavaScript code analyzer for deep, cross-editor language support.",javascript,false
terraform-compliance,https://terraform-compliance.com,"A lightweight, compliance- and security focused, BDD test framework against Terraform.",configmanagement,false
terrascan,https://github.com/cesar-rodriguez/terrascan,Collection of security and best practice tests for static code analysis of Terraform templates,configmanagement,false
test,http://golang.org/pkg/testing/,Show location of test failures from the stdlib testing module,go,false
Test Design Studio,http://patterson-consulting.net/tds,A full IDE with static code analysis for Micro Focus Unified Functional Testing VBScript-based automated tests,vbscript,true
tflint,https://github.com/wata727/tflint,A Terraform linter for detecting errors that can not be detected by `terraform plan`.,configmanagement,false
TscanCode,https://github.com/Tencent/TscanCode,"A fast and accurate static analysis solution for C/C++, C#, Lua codes provided by Tencent. Using GPLv3 license.","c, cpp, csharp, lua",false
tslint-clean-code,https://www.npmjs.com/package/tslint-clean-code,A set of TSLint rules inspired by the Clean Code handbook,typescript,false
tslint-microsoft-contrib,https://github.com/Microsoft/tslint-microsoft-contrib,A set of tslint rules for static code analysis of TypeScript projects maintained by Microsoft,typescript,false
tsqllint,https://github.com/tsqllint/tsqllint,T-SQL-specific linter,sql,false
TSqlRules,https://github.com/ashleyglee/TSqlRules,TSQL Static Code Analysis Rules for SQL Server,sql,false
Tuli,https://github.com/ircmaxell/Tuli,A static analysis engine,php,false
twig-lint,https://github.com/asm89/twig-lint,twig-lint is a lint tool for your twig files,php,false
Twiggy,https://rustwasm.github.io/twiggy/,Analyzes a binary's call graph to profile code size. The goal is to slim down binaries.,binary,false
TypeScript Call Graph,https://github.com/whyboris/TypeScript-Call-Graph,CLI to generate an interactive graph of functions and calls from your TypeScript files,typescript,false
unconvert,https://github.com/mdempsky/unconvert,Detect redundant type conversions,go,false
Undebt,https://github.com/Yelp/undebt,"Language-independent tool for massive, automatic, programmable refactoring based on simple pattern definitions.","c, cpp, java, php",false
Understand,https://scitools.com/ada-programming-essential/,"IDE that provides code analysis, standards testing, metrics, graphing, dependency analysis and more for Ada and VHDL.",ada,true
Unibeautify,https://unibeautify.com/,"Universal code beautifier with a GitHub app. Supports HTML, CSS, JavaScript, TypeScript, JSX, Vue, C++, Go, Objective-C, Java, Python, PHP, GraphQL, Markdown, and more.","formatter, c, cpp, css, go, html, java, javascript, jsx, markdown, objectivec, php, python, typescript, vue",false
unimport,https://github.com/alexkohler/unimport,Finds unnecessary import aliases,go,false
unimport,https://unimport.hakancelik.dev,"A linter, formatter for finding and removing unused import statements",python,false
unparam,https://github.com/mvdan/unparam,Find unused function parameters,go,false
Upsource,https://www.jetbrains.com/upsource/,"Code review tool with static code analysis and code-aware navigation for Java, PHP, JavaScript and Kotlin.","ci, java, javascript, kotlin, php, service",true
vale,https://errata-ai.gitbook.io/vale/,"A customizable, syntax-aware linter for prose.",writing,false
varcheck,https://gitlab.com/opennota/check,Find unused global variables and constants,go,false
vera++,https://bitbucket.org/verateam/vera/wiki/Introduction,"Vera++ is a programmable tool for verification, analysis and transformation of C++ source code.","c, cpp",false
Veracode,http://www.veracode.com/products/static-analysis-sast/static-code-analysis,"Find flaws in binaries and bytecode without requiring source. Support all major programming languages: Java, .NET, JavaScript, Swift, Objective-C, C, C++ and more.","c, cpp, dotnet, java, javascript, objectivec, php, swift, security",true
vint,https://github.com/Kuniwak/vint,Fast and Highly Extensible Vim script Language Lint implemented by Python,ide,false
Violations Lib,https://github.com/tomasbjerre/violations-lib,"Java library for parsing report files from static code analysis. Used by a bunch of Jenkins, Maven and Gradle plugins.","ci, java, support",false
VSDiagnostics,https://github.com/Vannevelj/VSDiagnostics,A collection of static analyzers based on Roslyn that integrates with VS,csharp,false
vulture,https://github.com/jendrikseipp/vulture,"Find unused classes, functions and variables in Python code.",python,false
WALA,http://wala.sourceforge.net,Static analysis capabilities for Java bytecode and related languages and for JavaScript,"javascript, java",false
WAP,https://securityonline.info/owasp-wap-web-application-protection-project/,Tool to detect and correct input validation vulnerabilities in PHP (4.0 or higher) web applications and predicts false positives by combining static analysis and data mining,php,false
WartRemover,https://www.wartremover.org/,A flexible Scala code linting tool,scala,false
Weeder,https://github.com/ocharles/weeder,A tool for detecting dead exports or package imports in Haskell code,haskell,false
wemake-python-styleguide,https://wemake-python-stylegui.de,The strictest and most opinionated python linter ever,python,false
WhiteHat Application Security Platform,https://www.whitehatsec.com/platform/static-application-security-testing/,WhiteHat Scout (for Developers) combined with WhiteHat Sentinel Source (for Operations) supporting WhiteHat Top 40 and OWASP Top 10.,"java, csharp, aspnet, php, javascript, nodejs, objectivec, mobile, html, typescript",true
wily,https://github.com/tonybaloney/wily,"A command-line tool for archiving, exploring and graphing the complexity of Python source code.",python,false
Wintellect.Analyzers,https://github.com/Wintellect/Wintellect.Analyzers,"'.NET Compiler Platform (""Roslyn"") diagnostic analyzers and code fixes.",csharp,false
Wotan,https://github.com/fimbullinter/wotan,Pluggable TypeScript and JavaScript linter,"typescript, javascript",false
write-good,https://github.com/btford/write-good,"'A linter with a focus on eliminating ""weasel words"".",writing,false
wsl,https://github.com/bombsimon/wsl,Enforces empty lines at the right places,go,false
Xanitizer,https://xanitizer.com/,Xanitizer finds security vulnerabilities in Java/Scala web applications,"java, scala",true
XCode,https://developer.apple.com/xcode/,"XCode provides a pretty decent UI for [Clang's](http://clang-analyzer.llvm.org/xcode.html) static code analyzer (C/C++, Obj-C).","c, cpp, objectivec",true
xenon,https://xenon.readthedocs.io/,Monitor code complexity using [`radon`](https://github.com/rubik/radon).,python,false
xo,https://github.com/xojs/xo,Opinionated but configurable ESLint wrapper with lots of goodies included. Enforces strict and readable code,javascript,false
yamllint,https://yamllint.readthedocs.io/,"Checks YAML files for syntax validity, key repetition and cosmetic problems such as lines length, trailing spaces, and indentation.","template, yaml",false
yardstick,https://github.com/calmh/yardstick,Javascript code metrics,javascript,false
Stan,https://kowainik.github.io/projects/stan,Stan is a command-line tool for analysing Haskell projects and outputting discovered vulnerabilities in a helpful way with possible solutions for detected problems,haskell,false
StaticLint,ttps://github.com/julia-vscode/StaticLint.j,Static Code Analysis for Juli,julia,false
PC-lint,https://www.gimpel.com/,"Static analysis for C/C++. Runs natively under Windows/Linux/MacOS. Analyzes code for virtually any platform, supporting C11/C18 and C++17.","c, cpp",true
kmdr,https://kmdr.sh/,CLI tool for learning commands from your terminal. kmdr delivers a break down of commands with every attribute explained.,shell,false
Zaam-Dox,No Homepage,No Description,python,true
Otcom,No Homepage,No Description,csharp,false
Lotstring,No Homepage,No Description,csharp,true
Daltfresh,No Homepage,No Description,javascript,false
Bytecard,No Homepage,No Description,haskell,false
Zathin,No Homepage,No Description,bash,false
Bitwolf,No Homepage,No Description,python,true
Toughjoyfax,No Homepage,No Description,bash,true
Holdlamis,No Homepage,No Description,java,false
Redhold,No Homepage,No Description,cpp,true
Flowdesk,No Homepage,No Description,csharp,true
Tresom,No Homepage,No Description,haskell,true
Aerified,No Homepage,No Description,bash,true
Cookley,No Homepage,No Description,ocaml,true
Asoka,No Homepage,No Description,haskell,true
Ventosanzap,No Homepage,No Description,kotlin,false
Holdlamis,No Homepage,No Description,kotlin,false
Alpha,No Homepage,No Description,python,true
Ventosanzap,No Homepage,No Description,javascript,true
Temp,No Homepage,No Description,ocaml,false
Zathin,No Homepage,No Description,objectivec,false
Stim,No Homepage,No Description,objectivec,true
Veribet,No Homepage,No Description,python,true
Wrapsafe,No Homepage,No Description,ocaml,false
Opela,No Homepage,No Description,objectivec,false
Temp,No Homepage,No Description,csharp,true
Alpha,No Homepage,No Description,csharp,true
Veribet,No Homepage,No Description,ocaml,false
Fixflex,No Homepage,No Description,csharp,false
Lotstring,No Homepage,No Description,objectivec,false
Matsoft,No Homepage,No Description,haskell,true
Bytecard,No Homepage,No Description,kotlin,false
Fintone,No Homepage,No Description,objectivec,false
Daltfresh,No Homepage,No Description,cpp,false
Cookley,No Homepage,No Description,bash,false
Cookley,No Homepage,No Description,asm,true
Sub-Ex,No Homepage,No Description,javascript,true
Zontrax,No Homepage,No Description,kotlin,true
Span,No Homepage,No Description,haskell,true
Domainer,No Homepage,No Description,csharp,false
Lotstring,No Homepage,No Description,javascript,false
Fix San,No Homepage,No Description,python,true
Span,No Homepage,No Description,java,true
Stronghold,No Homepage,No Description,ocaml,false
Tresom,No Homepage,No Description,cpp,false
Domainer,No Homepage,No Description,csharp,false
Sub-Ex,No Homepage,No Description,python,false
Treeflex,No Homepage,No Description,java,true
Tin,No Homepage,No Description,cpp,true
Duobam,No Homepage,No Description,csharp,false
Zamit,No Homepage,No Description,cpp,false
Temp,No Homepage,No Description,haskell,true
Quo Lux,No Homepage,No Description,haskell,false
Gembucket,No Homepage,No Description,csharp,false
Regrant,No Homepage,No Description,ocaml,true
Gembucket,No Homepage,No Description,haskell,true
Fixflex,No Homepage,No Description,cpp,false
Rank,No Homepage,No Description,javascript,false
Stringtough,No Homepage,No Description,java,true
Treeflex,No Homepage,No Description,csharp,true
Sonair,No Homepage,No Description,haskell,true
Toughjoyfax,No Homepage,No Description,kotlin,true
Domainer,No Homepage,No Description,javascript,true
Stringtough,No Homepage,No Description,csharp,true
Sonair,No Homepage,No Description,ocaml,true
Viva,No Homepage,No Description,asm,false
Flexidy,No Homepage,No Description,haskell,false
Greenlam,No Homepage,No Description,javascript,true
Sonsing,No Homepage,No Description,csharp,false
Ventosanzap,No Homepage,No Description,haskell,true
Ventosanzap,No Homepage,No Description,kotlin,true
Stronghold,No Homepage,No Description,cpp,false
Tin,No Homepage,No Description,objectivec,true
Treeflex,No Homepage,No Description,haskell,true
Latlux,No Homepage,No Description,bash,false
Holdlamis,No Homepage,No Description,java,false
Cookley,No Homepage,No Description,javascript,true
Asoka,No Homepage,No Description,ocaml,false
Treeflex,No Homepage,No Description,java,true
Kanlam,No Homepage,No Description,cpp,false
Duobam,No Homepage,No Description,objectivec,false
Transcof,No Homepage,No Description,cpp,false
Bytecard,No Homepage,No Description,asm,true
Job,No Homepage,No Description,asm,true
Mat Lam Tam,No Homepage,No Description,asm,false
Flowdesk,No Homepage,No Description,kotlin,false
Tempsoft,No Homepage,No Description,javascript,true
Zamit,No Homepage,No Description,cpp,true
Cardguard,No Homepage,No Description,haskell,true
Span,No Homepage,No Description,cpp,false
Hatity,No Homepage,No Description,kotlin,true
Overhold,No Homepage,No Description,java,false
Bitwolf,No Homepage,No Description,asm,true
Cardguard,No Homepage,No Description,kotlin,true
Overhold,No Homepage,No Description,bash,true
Temp,No Homepage,No Description,haskell,true
Aerified,No Homepage,No Description,kotlin,true
Zontrax,No Homepage,No Description,asm,false
Zamit,No Homepage,No Description,haskell,true
Sonsing,No Homepage,No Description,kotlin,false
Rank,No Homepage,No Description,bash,true
Zoolab,No Homepage,No Description,kotlin,false
Cookley,No Homepage,No Description,cpp,false
Domainer,No Homepage,No Description,csharp,false
Greenlam,No Homepage,No Description,cpp,false
Zoolab,No Homepage,No Description,python,false
Overhold,No Homepage,No Description,python,true
Regrant,No Homepage,No Description,kotlin,true
Tampflex,No Homepage,No Description,java,false
Flexidy,No Homepage,No Description,asm,false
Domainer,No Homepage,No Description,objectivec,false
Temp,No Homepage,No Description,csharp,false
Treeflex,No Homepage,No Description,cpp,true
Biodex,No Homepage,No Description,python,false
Treeflex,No Homepage,No Description,kotlin,true
Stim,No Homepage,No Description,objectivec,true
Tin,No Homepage,No Description,kotlin,true
Cardguard,No Homepage,No Description,csharp,false
Alpha,No Homepage,No Description,ocaml,true
Lotlux,No Homepage,No Description,python,false
Alpha,No Homepage,No Description,objectivec,false
Mat Lam Tam,No Homepage,No Description,python,false
Bitwolf,No Homepage,No Description,kotlin,false
Ronstring,No Homepage,No Description,python,true
Matsoft,No Homepage,No Description,python,true
Pannier,No Homepage,No Description,asm,true
Ronstring,No Homepage,No Description,bash,false
Ronstring,No Homepage,No Description,ocaml,false
Kanlam,No Homepage,No Description,asm,false
Overhold,No Homepage,No Description,csharp,true
Zontrax,No Homepage,No Description,cpp,false
Aerified,No Homepage,No Description,haskell,true
Sonsing,No Homepage,No Description,csharp,false
Zamit,No Homepage,No Description,csharp,false
Bigtax,No Homepage,No Description,asm,true
It,No Homepage,No Description,csharp,false
Kanlam,No Homepage,No Description,javascript,true
Treeflex,No Homepage,No Description,python,false
Ronstring,No Homepage,No Description,haskell,true
Bytecard,No Homepage,No Description,bash,false
Veribet,No Homepage,No Description,kotlin,false
Stim,No Homepage,No Description,asm,false
Treeflex,No Homepage,No Description,asm,true
Bitwolf,No Homepage,No Description,objectivec,false
Tres-Zap,No Homepage,No Description,objectivec,false
Toughjoyfax,No Homepage,No Description,java,true
Subin,No Homepage,No Description,java,false
Ronstring,No Homepage,No Description,csharp,false
Biodex,No Homepage,No Description,bash,false
Y-Solowarm,No Homepage,No Description,kotlin,false
Veribet,No Homepage,No Description,asm,true
Ronstring,No Homepage,No Description,kotlin,false
Sonair,No Homepage,No Description,java,true
Zathin,No Homepage,No Description,java,true
Subin,No Homepage,No Description,csharp,true
Rank,No Homepage,No Description,javascript,false
Pannier,No Homepage,No Description,asm,true
Temp,No Homepage,No Description,asm,false
Pannier,No Homepage,No Description,cpp,true
Bamity,No Homepage,No Description,cpp,false
Prodder,No Homepage,No Description,objectivec,true
Temp,No Homepage,No Description,python,false
Ventosanzap,No Homepage,No Description,objectivec,true
Alpha,No Homepage,No Description,kotlin,false
Cookley,No Homepage,No Description,bash,false
Stronghold,No Homepage,No Description,python,true
Zaam-Dox,No Homepage,No Description,java,false
Asoka,No Homepage,No Description,asm,true
It,No Homepage,No Description,python,false
Daltfresh,No Homepage,No Description,haskell,false
Sub-Ex,No Homepage,No Description,csharp,false
Zathin,No Homepage,No Description,asm,true
Ronstring,No Homepage,No Description,haskell,true
Prodder,No Homepage,No Description,asm,false
Alpha,No Homepage,No Description,java,true
Sub-Ex,No Homepage,No Description,ocaml,true
Vagram,No Homepage,No Description,cpp,true
Treeflex,No Homepage,No Description,csharp,false
Zamit,No Homepage,No Description,ocaml,true
It,No Homepage,No Description,kotlin,true
Trippledex,No Homepage,No Description,java,true
Konklux,No Homepage,No Description,kotlin,false
Fixflex,No Homepage,No Description,haskell,true
Veribet,No Homepage,No Description,bash,false
Stim,No Homepage,No Description,kotlin,true
Ronstring,No Homepage,No Description,haskell,true
Transcof,No Homepage,No Description,java,false
Stim,No Homepage,No Description,asm,false
Stronghold,No Homepage,No Description,kotlin,true
Cardify,No Homepage,No Description,javascript,true
Fix San,No Homepage,No Description,asm,false
Vagram,No Homepage,No Description,bash,false
It,No Homepage,No Description,objectivec,false
Fintone,No Homepage,No Description,java,false
Home Ing,No Homepage,No Description,ocaml,true
Y-Solowarm,No Homepage,No Description,python,true
Bigtax,No Homepage,No Description,kotlin,true
Cookley,No Homepage,No Description,ocaml,false
Cardguard,No Homepage,No Description,bash,false
Konklux,No Homepage,No Description,objectivec,false
Aerified,No Homepage,No Description,python,false
Voltsillam,No Homepage,No Description,csharp,true
Konklab,No Homepage,No Description,ocaml,false
Subin,No Homepage,No Description,cpp,true
Tresom,No Homepage,No Description,kotlin,false
Stim,No Homepage,No Description,javascript,false
Regrant,No Homepage,No Description,python,true
Tin,No Homepage,No Description,csharp,false
Bigtax,No Homepage,No Description,haskell,true
Gembucket,No Homepage,No Description,javascript,true
Greenlam,No Homepage,No Description,asm,false
Redhold,No Homepage,No Description,kotlin,false
Bamity,No Homepage,No Description,ocaml,false
Cardguard,No Homepage,No Description,haskell,false
Bamity,No Homepage,No Description,cpp,true
Sub-Ex,No Homepage,No Description,objectivec,false
Tampflex,No Homepage,No Description,ocaml,false
Keylex,No Homepage,No Description,ocaml,false
Latlux,No Homepage,No Description,objectivec,false
Latlux,No Homepage,No Description,bash,true
Sonair,No Homepage,No Description,kotlin,true
Stim,No Homepage,No Description,kotlin,false
Vagram,No Homepage,No Description,kotlin,true
Tresom,No Homepage,No Description,javascript,true
Fixflex,No Homepage,No Description,java,true
Latlux,No Homepage,No Description,javascript,true
Konklux,No Homepage,No Description,ocaml,true
Hatity,No Homepage,No Description,haskell,false
Duobam,No Homepage,No Description,csharp,false
Tres-Zap,No Homepage,No Description,asm,true
Sonair,No Homepage,No Description,cpp,true
Fix San,No Homepage,No Description,cpp,true
Wrapsafe,No Homepage,No Description,haskell,true
Opela,No Homepage,No Description,ocaml,true
Prodder,No Homepage,No Description,javascript,true
Zontrax,No Homepage,No Description,asm,true
Overhold,No Homepage,No Description,python,false
Konklux,No Homepage,No Description,cpp,true
Cardguard,No Homepage,No Description,objectivec,false
Sonsing,No Homepage,No Description,javascript,false
Prodder,No Homepage,No Description,csharp,false
Stim,No Homepage,No Description,bash,false
Quo Lux,No Homepage,No Description,bash,false
Bitchip,No Homepage,No Description,javascript,false
Latlux,No Homepage,No Description,bash,false
Konklux,No Homepage,No Description,kotlin,false
Flowdesk,No Homepage,No Description,python,true
Fix San,No Homepage,No Description,haskell,false
Zaam-Dox,No Homepage,No Description,java,true
Sonair,No Homepage,No Description,cpp,false
Sonair,No Homepage,No Description,asm,false
Sonsing,No Homepage,No Description,ocaml,false
Lotstring,No Homepage,No Description,kotlin,false
Rank,No Homepage,No Description,java,true
Job,No Homepage,No Description,csharp,true
Namfix,No Homepage,No Description,kotlin,false
Quo Lux,No Homepage,No Description,cpp,false
Bigtax,No Homepage,No Description,python,true
Bitwolf,No Homepage,No Description,javascript,false
Biodex,No Homepage,No Description,java,true
Zoolab,No Homepage,No Description,objectivec,true
Sonsing,No Homepage,No Description,javascript,true
Keylex,No Homepage,No Description,objectivec,true
Job,No Homepage,No Description,haskell,false
Fix San,No Homepage,No Description,asm,true
Stim,No Homepage,No Description,kotlin,true
Domainer,No Homepage,No Description,python,true
Daltfresh,No Homepage,No Description,javascript,false
Otcom,No Homepage,No Description,kotlin,false
Temp,No Homepage,No Description,python,false
Zamit,No Homepage,No Description,javascript,false
Bamity,No Homepage,No Description,java,false
Stronghold,No Homepage,No Description,ocaml,false
Aerified,No Homepage,No Description,cpp,true
Mat Lam Tam,No Homepage,No Description,objectivec,true
Overhold,No Homepage,No Description,cpp,true
Holdlamis,No Homepage,No Description,bash,false
Redhold,No Homepage,No Description,python,true
Lotlux,No Homepage,No Description,csharp,false
Wrapsafe,No Homepage,No Description,csharp,false
Voyatouch,No Homepage,No Description,kotlin,true
Voyatouch,No Homepage,No Description,objectivec,true
Quo Lux,No Homepage,No Description,asm,false
Veribet,No Homepage,No Description,java,true
Asoka,No Homepage,No Description,kotlin,false
Sub-Ex,No Homepage,No Description,haskell,false
Voyatouch,No Homepage,No Description,java,false
It,No Homepage,No Description,python,false
Asoka,No Homepage,No Description,kotlin,true
Biodex,No Homepage,No Description,bash,true
Opela,No Homepage,No Description,kotlin,true
Holdlamis,No Homepage,No Description,ocaml,true
Overhold,No Homepage,No Description,cpp,true
Redhold,No Homepage,No Description,csharp,true
Tres-Zap,No Homepage,No Description,python,false
Tresom,No Homepage,No Description,ocaml,false
Lotlux,No Homepage,No Description,javascript,false
